split,topology,mask_id,Pigbt,Pfwd,h_value,h_normalized,n_instances,bytes,path
TrainData,Mask_3P6P_V1,000,350,150,8000,0.800000011920929,4,248616,TrainData/Mask_3P6P_V1/000_Pigbt350_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,000,350,200,4000,0.4000000059604645,4,248968,TrainData/Mask_3P6P_V1/000_Pigbt350_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,000,350,200,6000,0.6000000238418579,4,249246,TrainData/Mask_3P6P_V1/000_Pigbt350_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,000,350,200,8000,0.800000011920929,4,248834,TrainData/Mask_3P6P_V1/000_Pigbt350_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,000,450,100,2000,0.20000000298023224,4,247535,TrainData/Mask_3P6P_V1/000_Pigbt450_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,000,450,100,4000,0.4000000059604645,4,249012,TrainData/Mask_3P6P_V1/000_Pigbt450_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,000,450,150,2000,0.20000000298023224,4,246158,TrainData/Mask_3P6P_V1/000_Pigbt450_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,000,450,150,6000,0.6000000238418579,4,249758,TrainData/Mask_3P6P_V1/000_Pigbt450_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,000,450,150,8000,0.800000011920929,4,249665,TrainData/Mask_3P6P_V1/000_Pigbt450_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,000,450,200,2000,0.20000000298023224,4,245873,TrainData/Mask_3P6P_V1/000_Pigbt450_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,000,450,200,4000,0.4000000059604645,4,249793,TrainData/Mask_3P6P_V1/000_Pigbt450_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,000,450,200,6000,0.6000000238418579,4,250237,TrainData/Mask_3P6P_V1/000_Pigbt450_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,001,150,100,2000,0.20000000298023224,4,242105,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,001,150,100,4000,0.4000000059604645,4,244697,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,001,150,150,2000,0.20000000298023224,4,243149,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,001,150,150,4000,0.4000000059604645,4,245506,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,001,150,150,6000,0.6000000238418579,4,245515,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,001,150,150,8000,0.800000011920929,4,246300,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,001,150,200,2000,0.20000000298023224,4,244963,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,001,150,200,6000,0.6000000238418579,4,245886,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,001,150,200,8000,0.800000011920929,4,246682,TrainData/Mask_3P6P_V1/001_Pigbt150_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,001,250,100,4000,0.4000000059604645,4,246269,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,001,250,100,6000,0.6000000238418579,4,246404,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,001,250,100,8000,0.800000011920929,4,246211,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,001,250,150,2000,0.20000000298023224,4,246418,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,001,250,150,4000,0.4000000059604645,4,246602,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,001,250,150,6000,0.6000000238418579,4,246919,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,001,250,150,8000,0.800000011920929,4,246789,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,001,250,200,2000,0.20000000298023224,4,246832,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,001,250,200,4000,0.4000000059604645,4,247036,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,001,250,200,8000,0.800000011920929,4,247230,TrainData/Mask_3P6P_V1/001_Pigbt250_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,001,350,100,2000,0.20000000298023224,4,247170,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,001,350,100,4000,0.4000000059604645,4,247948,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,001,350,100,6000,0.6000000238418579,4,248037,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,001,350,100,8000,0.800000011920929,4,247402,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,001,350,150,2000,0.20000000298023224,4,246996,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,001,350,150,4000,0.4000000059604645,4,247969,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,001,350,150,6000,0.6000000238418579,4,248475,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,001,350,200,4000,0.4000000059604645,4,248412,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,001,350,200,6000,0.6000000238418579,4,248789,TrainData/Mask_3P6P_V1/001_Pigbt350_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,001,450,100,4000,0.4000000059604645,4,248077,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,001,450,100,8000,0.800000011920929,4,248957,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,001,450,150,2000,0.20000000298023224,4,246439,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,001,450,150,4000,0.4000000059604645,4,248322,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,001,450,150,6000,0.6000000238418579,4,249444,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,001,450,150,8000,0.800000011920929,4,249443,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,001,450,200,2000,0.20000000298023224,4,244880,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,001,450,200,4000,0.4000000059604645,4,248810,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,001,450,200,6000,0.6000000238418579,4,249832,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,001,450,200,8000,0.800000011920929,4,249605,TrainData/Mask_3P6P_V1/001_Pigbt450_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,002,150,100,4000,0.4000000059604645,4,245051,TrainData/Mask_3P6P_V1/002_Pigbt150_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,002,150,100,6000,0.6000000238418579,4,244602,TrainData/Mask_3P6P_V1/002_Pigbt150_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,002,150,100,8000,0.800000011920929,4,246657,TrainData/Mask_3P6P_V1/002_Pigbt150_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,002,150,150,8000,0.800000011920929,4,246810,TrainData/Mask_3P6P_V1/002_Pigbt150_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,002,150,200,2000,0.20000000298023224,4,245118,TrainData/Mask_3P6P_V1/002_Pigbt150_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,002,150,200,6000,0.6000000238418579,4,246241,TrainData/Mask_3P6P_V1/002_Pigbt150_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,002,150,200,8000,0.800000011920929,4,247194,TrainData/Mask_3P6P_V1/002_Pigbt150_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,002,250,100,4000,0.4000000059604645,4,246943,TrainData/Mask_3P6P_V1/002_Pigbt250_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,002,250,150,2000,0.20000000298023224,4,246594,TrainData/Mask_3P6P_V1/002_Pigbt250_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,002,250,150,6000,0.6000000238418579,4,247154,TrainData/Mask_3P6P_V1/002_Pigbt250_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,002,250,150,8000,0.800000011920929,4,246820,TrainData/Mask_3P6P_V1/002_Pigbt250_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,002,250,200,2000,0.20000000298023224,4,247051,TrainData/Mask_3P6P_V1/002_Pigbt250_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,002,250,200,8000,0.800000011920929,4,247250,TrainData/Mask_3P6P_V1/002_Pigbt250_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,002,350,100,2000,0.20000000298023224,4,248044,TrainData/Mask_3P6P_V1/002_Pigbt350_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,002,350,100,4000,0.4000000059604645,4,248290,TrainData/Mask_3P6P_V1/002_Pigbt350_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,002,350,100,8000,0.800000011920929,4,248235,TrainData/Mask_3P6P_V1/002_Pigbt350_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,002,350,150,2000,0.20000000298023224,4,247673,TrainData/Mask_3P6P_V1/002_Pigbt350_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,002,350,150,4000,0.4000000059604645,4,248511,TrainData/Mask_3P6P_V1/002_Pigbt350_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,002,350,150,6000,0.6000000238418579,4,248632,TrainData/Mask_3P6P_V1/002_Pigbt350_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,002,350,200,4000,0.4000000059604645,4,248688,TrainData/Mask_3P6P_V1/002_Pigbt350_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,002,450,100,2000,0.20000000298023224,4,247406,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,002,450,100,6000,0.6000000238418579,4,249252,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,002,450,100,8000,0.800000011920929,4,249197,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,002,450,150,2000,0.20000000298023224,4,246657,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,002,450,150,4000,0.4000000059604645,4,248867,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,002,450,150,6000,0.6000000238418579,4,249546,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,002,450,150,8000,0.800000011920929,4,249512,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,002,450,200,2000,0.20000000298023224,4,245838,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,002,450,200,4000,0.4000000059604645,4,249178,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,002,450,200,6000,0.6000000238418579,4,249921,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,002,450,200,8000,0.800000011920929,4,249854,TrainData/Mask_3P6P_V1/002_Pigbt450_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,003,150,100,2000,0.20000000298023224,4,242010,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,003,150,100,4000,0.4000000059604645,4,244566,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,003,150,100,6000,0.6000000238418579,4,244424,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,003,150,150,2000,0.20000000298023224,4,243046,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,003,150,150,4000,0.4000000059604645,4,245157,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,003,150,150,6000,0.6000000238418579,4,245092,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,003,150,150,8000,0.800000011920929,4,246341,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,003,150,200,2000,0.20000000298023224,4,244664,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,003,150,200,4000,0.4000000059604645,4,245884,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,003,150,200,6000,0.6000000238418579,4,245626,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,003,150,200,8000,0.800000011920929,4,246574,TrainData/Mask_3P6P_V1/003_Pigbt150_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,003,250,100,4000,0.4000000059604645,4,246398,TrainData/Mask_3P6P_V1/003_Pigbt250_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,003,250,100,8000,0.800000011920929,4,246442,TrainData/Mask_3P6P_V1/003_Pigbt250_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,003,250,150,2000,0.20000000298023224,4,246188,TrainData/Mask_3P6P_V1/003_Pigbt250_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,003,250,150,4000,0.4000000059604645,4,246422,TrainData/Mask_3P6P_V1/003_Pigbt250_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,003,250,200,4000,0.4000000059604645,4,246815,TrainData/Mask_3P6P_V1/003_Pigbt250_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,003,250,200,6000,0.6000000238418579,4,247181,TrainData/Mask_3P6P_V1/003_Pigbt250_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,003,250,200,8000,0.800000011920929,4,247018,TrainData/Mask_3P6P_V1/003_Pigbt250_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,003,350,100,4000,0.4000000059604645,4,247944,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,003,350,100,6000,0.6000000238418579,4,247483,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,003,350,150,2000,0.20000000298023224,4,247080,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,003,350,150,4000,0.4000000059604645,4,247976,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,003,350,150,6000,0.6000000238418579,4,247905,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,003,350,150,8000,0.800000011920929,4,247717,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,003,350,200,2000,0.20000000298023224,4,246548,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,003,350,200,6000,0.6000000238418579,4,248569,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,003,350,200,8000,0.800000011920929,4,247942,TrainData/Mask_3P6P_V1/003_Pigbt350_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,003,450,100,6000,0.6000000238418579,4,249194,TrainData/Mask_3P6P_V1/003_Pigbt450_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,003,450,100,8000,0.800000011920929,4,248923,TrainData/Mask_3P6P_V1/003_Pigbt450_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,003,450,150,2000,0.20000000298023224,4,246394,TrainData/Mask_3P6P_V1/003_Pigbt450_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,003,450,150,4000,0.4000000059604645,4,248751,TrainData/Mask_3P6P_V1/003_Pigbt450_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,003,450,200,2000,0.20000000298023224,4,244775,TrainData/Mask_3P6P_V1/003_Pigbt450_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,003,450,200,6000,0.6000000238418579,4,249867,TrainData/Mask_3P6P_V1/003_Pigbt450_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,003,450,200,8000,0.800000011920929,4,249526,TrainData/Mask_3P6P_V1/003_Pigbt450_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,004,150,100,4000,0.4000000059604645,4,245124,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,004,150,100,6000,0.6000000238418579,4,245197,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,004,150,100,8000,0.800000011920929,4,246651,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,004,150,150,2000,0.20000000298023224,4,244100,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,004,150,150,4000,0.4000000059604645,4,245983,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,004,150,150,6000,0.6000000238418579,4,245534,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,004,150,150,8000,0.800000011920929,4,247128,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,004,150,200,2000,0.20000000298023224,4,245639,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,004,150,200,4000,0.4000000059604645,4,246682,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,004,150,200,6000,0.6000000238418579,4,246559,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,004,150,200,8000,0.800000011920929,4,247934,TrainData/Mask_3P6P_V1/004_Pigbt150_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,004,250,100,2000,0.20000000298023224,4,246287,TrainData/Mask_3P6P_V1/004_Pigbt250_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,004,250,100,6000,0.6000000238418579,4,246715,TrainData/Mask_3P6P_V1/004_Pigbt250_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,004,250,150,4000,0.4000000059604645,4,247570,TrainData/Mask_3P6P_V1/004_Pigbt250_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,004,250,150,8000,0.800000011920929,4,247284,TrainData/Mask_3P6P_V1/004_Pigbt250_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,004,250,200,2000,0.20000000298023224,4,247383,TrainData/Mask_3P6P_V1/004_Pigbt250_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,004,250,200,8000,0.800000011920929,4,247910,TrainData/Mask_3P6P_V1/004_Pigbt250_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,004,350,100,2000,0.20000000298023224,4,248137,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,004,350,100,4000,0.4000000059604645,4,248891,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,004,350,100,6000,0.6000000238418579,4,248626,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd100_h6000/data.h5
TrainData,Mask_3P6P_V1,004,350,100,8000,0.800000011920929,4,248129,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,004,350,150,4000,0.4000000059604645,4,248962,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,004,350,150,8000,0.800000011920929,4,248702,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,004,350,200,4000,0.4000000059604645,4,249113,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,004,350,200,6000,0.6000000238418579,4,249517,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd200_h6000/data.h5
TrainData,Mask_3P6P_V1,004,350,200,8000,0.800000011920929,4,249166,TrainData/Mask_3P6P_V1/004_Pigbt350_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,004,450,100,2000,0.20000000298023224,4,247664,TrainData/Mask_3P6P_V1/004_Pigbt450_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,004,450,100,4000,0.4000000059604645,4,249289,TrainData/Mask_3P6P_V1/004_Pigbt450_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,004,450,100,8000,0.800000011920929,4,249554,TrainData/Mask_3P6P_V1/004_Pigbt450_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,004,450,150,2000,0.20000000298023224,4,246739,TrainData/Mask_3P6P_V1/004_Pigbt450_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,004,450,150,6000,0.6000000238418579,4,250088,TrainData/Mask_3P6P_V1/004_Pigbt450_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,004,450,200,2000,0.20000000298023224,4,246102,TrainData/Mask_3P6P_V1/004_Pigbt450_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,004,450,200,4000,0.4000000059604645,4,249684,TrainData/Mask_3P6P_V1/004_Pigbt450_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,004,450,200,8000,0.800000011920929,4,250283,TrainData/Mask_3P6P_V1/004_Pigbt450_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,005,150,100,8000,0.800000011920929,4,246448,TrainData/Mask_3P6P_V1/005_Pigbt150_Pfwd100_h8000/data.h5
